developer,provider_count,mktShare,est_mips_2018,edition2015_base_status,provider_type_,provider_type_eligible clinician,provider_type_eligible hospital,market_impact_index
1,0.0332409972299169,0.012072434607645862,79,16,False,True,False,15.820242228997254
2,0.0221606648199446,0.008048289738430598,34,16,False,True,False,6.813494819331503
11,1.0,1.0,14,15,False,True,False,3.6000000000000005
12,0.06278855032317636,0.022803487592220006,133,16,False,True,False,26.638235321439257
3,0.0,0.0,18,16,False,True,False,3.6
13,0.5429362880886427,0.19718309859154917,92,1,False,True,False,18.73062307362179
4,1.0,1.0,3,14,False,True,False,1.4000000000000001
14,1.0,1.0,339,14,False,True,False,68.6
15,0.07756232686980609,0.028169014084507057,115,15,False,True,False,23.047231867660255
16,0.25484764542936283,0.09255533199195183,143,15,False,True,False,28.755190422312268
17,1.0,0.5311871227364187,219,16,False,True,False,44.45935613682093
5,0.0443213296398892,0.01609657947686117,310,16,False,True,False,62.026989638663004
18,1.0,0.898725687458084,261,15,False,True,False,52.96961770623743
19,0.0,0.0,1,16,False,True,False,0.2
20,0.5650969529085873,0.20523138832998017,74,16,False,True,False,15.144117892953288
21,1.0,0.924211938296446,212,15,False,True,False,43.17726358148894
22,0.018467220683287166,0.006706908115358811,37,16,False,True,False,7.411245682776252
23,0.09233610341643582,0.0335345405767941,231,14,False,True,False,46.25622841388126
6,0.007386888273314867,0.0026827632461435295,91,16,False,True,False,18.2044982731105
24,0.2954755309325946,0.10731052984574105,104,16,False,True,False,20.97993092442002
7,0.003693444136657433,0.0013413816230717671,163,16,False,True,False,32.60224913655525
26,0.5392428439519853,0.19584171696847733,230,16,False,True,False,46.32837393706654
25,1.0,1.0,245,15,False,True,False,49.8
27,1.0,1.0,149,15,False,True,False,30.6
28,0.09972299168975068,0.03621730382293763,124,16,False,True,False,24.860726686991757
29,0.26592797783933514,0.09657947686116686,123,16,False,True,False,24.76193783197802
30,0.007386888273314867,0.0026827632461435295,1,16,False,True,False,0.2044982731105005
31,0.3619575253924284,0.13145539906103265,179,16,False,True,False,36.02041538241453
32,0.0,0.0,18,16,False,True,False,3.6
33,0.014773776546629733,0.005365526492287073,49,16,False,True,False,9.808996546221001
34,0.0,0.0,1,16,False,True,False,0.2
37,0.05909510618651893,0.02146210596914822,20,0,False,True,False,4.0359861848840035
36,0.31024930747922436,0.1126760563380284,232,15,False,True,False,46.588927470641025
8,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
38,0.22899353647276086,0.08316566063044949,203,16,False,True,False,40.73944646642552
39,1.0,1.0,222,15,False,True,False,45.2
40,0.09233610341643582,0.0335345405767941,122,16,False,True,False,24.45622841388126
41,0.1883656509695291,0.06841046277665978,197,15,False,True,False,39.51470596431777
42,0.014773776546629733,0.005365526492287073,322,16,False,True,False,64.408996546221
43,0.09602954755309324,0.03487592219986584,1,16,False,True,False,0.2584775504365064
9,0.0332409972299169,0.012072434607645862,221,16,False,True,False,44.22024222899726
44,0.0,0.0,1,16,False,True,False,0.2
10,0.003693444136657433,0.0013413816230717671,163,16,False,True,False,32.60224913655525
653,1.0,1.0,154,15,False,True,False,31.6
45,0.007386888273314867,0.0026827632461435295,1,16,False,True,False,0.2044982731105005
46,0.22899353647276086,0.08316566063044949,57,16,False,True,False,11.539446466425515
47,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
48,0.0221606648199446,0.008048289738430598,337,16,False,True,False,67.4134948193315
49,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
50,0.22899353647276086,0.08316566063044949,334,16,False,True,False,66.93944646642551
51,0.10710987996306555,0.038900067069081154,55,16,False,True,False,11.065224960102258
52,0.13665743305632502,0.04963112005365507,207,15,False,True,False,41.48321805254427
54,0.1329639889196676,0.0482897384305837,1,16,False,True,False,0.2809689159890089
